ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60827,42,10/11/2020,10/17/2020,5,118,18,412.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-42,POINT (-87.633087 41.650765)
60827,43,10/18/2020,10/24/2020,10,128,35,447.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-43,POINT (-87.633087 41.650765)
60827,44,10/25/2020,10/31/2020,12,140,42,489.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-44,POINT (-87.633087 41.650765)
60666,48,11/22/2020,11/28/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-48,POINT (-87.896371 41.979511)
60827,45,11/01/2020,11/07/2020,8,148,28,517.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-45,POINT (-87.633087 41.650765)
60827,46,11/08/2020,11/14/2020,14,162,49,566.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-46,POINT (-87.633087 41.650765)
60655,39,09/20/2020,09/26/2020,32,673,111,2336.5,454,10554,1576,36640.7,0.1,0.1,0,14,0.0,48.6,28804,60655-39,POINT (-87.701434 41.696456)
60603,48,11/22/2020,11/28/2020,5,37,426,3151.6,46,809,3918,68909.7,0.1,0.1,0,0,0.0,0.0,1174,60603-48,POINT (-87.625473 41.880112)
60602,47,11/15/2020,11/21/2020,5,51,402,4099.7,97,1206,7797,96945.3,0.1,0.1,0,0,0.0,0.0,1244,60602-47,POINT (-87.628309 41.883136)
60602,48,11/22/2020,11/28/2020,7,58,563,4662.4,48,1254,3858,100803.9,0.1,0.1,0,0,0.0,0.0,1244,60602-48,POINT (-87.628309 41.883136)
60655,40,09/27/2020,10/03/2020,27,700,94,2430.2,454,11008,1576,38216.9,0.1,0.1,0,14,0.0,48.6,28804,60655-40,POINT (-87.701434 41.696456)
60666,47,11/15/2020,11/21/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-47,POINT (-87.896371 41.979511)
60655,41,10/04/2020,10/10/2020,37,737,128,2558.7,670,11678,2326,40543,0.1,0.1,1,15,3.5,52.1,28804,60655-41,POINT (-87.701434 41.696456)
60655,42,10/11/2020,10/17/2020,97,834,337,2895.4,870,12548,3020,43563.4,0.1,0.1,1,16,3.5,55.5,28804,60655-42,POINT (-87.701434 41.696456)
60655,43,10/18/2020,10/24/2020,129,963,448,3343.3,1195,13743,4149,47712.1,0.1,0.1,0,16,0.0,55.5,28804,60655-43,POINT (-87.701434 41.696456)
60655,44,10/25/2020,10/31/2020,137,1100,476,3818.9,956,14699,3319,51031.1,0.1,0.1,1,17,3.5,59.0,28804,60655-44,POINT (-87.701434 41.696456)
60655,45,11/01/2020,11/07/2020,210,1310,729,4548,1080,15779,3750,54780.6,0.2,0.1,2,19,6.9,66.0,28804,60655-45,POINT (-87.701434 41.696456)
60655,46,11/08/2020,11/14/2020,283,1593,982,5530.5,1226,17005,4256,59036.9,0.2,0.1,1,20,3.5,69.4,28804,60655-46,POINT (-87.701434 41.696456)
60655,47,11/15/2020,11/21/2020,194,1787,674,6204,1049,18054,3642,62678.8,0.2,0.1,1,21,3.5,72.9,28804,60655-47,POINT (-87.701434 41.696456)
60655,48,11/22/2020,11/28/2020,132,1919,458,6662.3,866,18920,3006,65685.3,0.2,0.1,2,23,6.9,79.9,28804,60655-48,POINT (-87.701434 41.696456)
60655,49,11/29/2020,12/05/2020,164,2083,569,7231.6,925,19845,3211,68896.7,0.2,0.1,3,26,10.4,90.3,28804,60655-49,POINT (-87.701434 41.696456)
60655,50,12/06/2020,12/12/2020,136,2219,472,7703.8,919,20764,3190,72087.2,0.2,0.1,2,28,6.9,97.2,28804,60655-50,POINT (-87.701434 41.696456)
60655,51,12/13/2020,12/19/2020,82,2301,285,7988.5,774,21538,2687,74774.3,0.1,0.1,1,29,3.5,100.7,28804,60655-51,POINT (-87.701434 41.696456)
60630,37,09/06/2020,09/12/2020,29,1241,51,2164.1,778,16251,1357,28339.5,0.0,0.1,3,66,5.2,115.1,57344,60630-37,POINT (-87.759611 41.971261)
60655,52,12/20/2020,12/26/2020,76,2377,264,8252.3,674,22212,2340,77114.3,0.1,0.1,2,31,6.9,107.6,28804,60655-52,POINT (-87.701434 41.696456)
60666,42,10/11/2020,10/17/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-42,POINT (-87.896371 41.979511)
60657,30,07/19/2020,07/25/2020,39,551,56,786.6,1402,11867,2001,16940.3,0.0,0.0,0,28,0.0,40.0,70052,60657-30,POINT (-87.658216 41.939715)
60657,31,07/26/2020,08/01/2020,24,575,34,820.8,1432,13299,2044,18984.5,0.0,0.0,0,28,0.0,40.0,70052,60657-31,POINT (-87.658216 41.939715)
60657,32,08/02/2020,08/08/2020,31,606,44,865.1,1541,14840,2200,21184.3,0.0,0.0,0,28,0.0,40.0,70052,60657-32,POINT (-87.658216 41.939715)
60657,33,08/09/2020,08/15/2020,45,651,64,929.3,1633,16473,2331,23515.4,0.0,0.0,1,29,1.4,41.4,70052,60657-33,POINT (-87.658216 41.939715)
60657,34,08/16/2020,08/22/2020,52,703,74,1003.5,1784,18257,2547,26062.1,0.0,0.0,0,29,0.0,41.4,70052,60657-34,POINT (-87.658216 41.939715)
60657,35,08/23/2020,08/29/2020,42,745,60,1063.5,1648,19905,2352,28414.6,0.0,0.0,0,29,0.0,41.4,70052,60657-35,POINT (-87.658216 41.939715)
60657,36,08/30/2020,09/05/2020,57,802,81,1144.9,1856,21761,2650,31064.1,0.0,0.0,0,29,0.0,41.4,70052,60657-36,POINT (-87.658216 41.939715)
60657,37,09/06/2020,09/12/2020,55,857,78,1223.4,1457,23218,2080,33144,0.0,0.0,0,29,0.0,41.4,70052,60657-37,POINT (-87.658216 41.939715)
60657,38,09/13/2020,09/19/2020,67,924,96,1319,1845,25063,2634,35777.7,0.0,0.0,0,29,0.0,41.4,70052,60657-38,POINT (-87.658216 41.939715)
60657,39,09/20/2020,09/26/2020,56,980,80,1399,1910,26973,2726,38504.3,0.0,0.0,0,29,0.0,41.4,70052,60657-39,POINT (-87.658216 41.939715)
60657,40,09/27/2020,10/03/2020,45,1025,64,1463.2,2093,29066,2988,41492,0.0,0.0,0,29,0.0,41.4,70052,60657-40,POINT (-87.658216 41.939715)
60657,41,10/04/2020,10/10/2020,87,1112,124,1587.4,2618,31684,3737,45229.3,0.0,0.0,0,29,0.0,41.4,70052,60657-41,POINT (-87.658216 41.939715)
60657,42,10/11/2020,10/17/2020,89,1201,127,1714.4,2428,34112,3466,48695.3,0.0,0.0,0,29,0.0,41.4,70052,60657-42,POINT (-87.658216 41.939715)
60657,43,10/18/2020,10/24/2020,148,1349,211,1925.7,2776,36888,3963,52658,0.1,0.0,2,31,2.9,44.3,70052,60657-43,POINT (-87.658216 41.939715)
60657,44,10/25/2020,10/31/2020,234,1583,334,2259.7,3298,40186,4708,57366,0.1,0.0,0,31,0.0,44.3,70052,60657-44,POINT (-87.658216 41.939715)
60657,45,11/01/2020,11/07/2020,330,1913,471,2730.8,3359,43545,4795,62161,0.1,0.0,1,32,1.4,45.7,70052,60657-45,POINT (-87.658216 41.939715)
60603,47,11/15/2020,11/21/2020,9,32,767,2725.7,62,763,5281,64991.5,0.2,0.1,0,0,0.0,0.0,1174,60603-47,POINT (-87.625473 41.880112)
60827,47,11/15/2020,11/21/2020,14,176,49,615.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-47,POINT (-87.633087 41.650765)
Unknown,10,03/01/2020,03/07/2020,,,,,5,5,0,0,0.0,0.0,0,0,0.0,0.0,0,Unknown-10,
60659,39,09/20/2020,09/26/2020,26,1119,63,2724.7,539,11292,1312,27495.9,0.1,0.1,0,45,0.0,109.6,41068,60659-39,POINT (-87.703266 41.990803)
60646,27,06/28/2020,07/04/2020,6,404,21,1443.5,609,4453,2176,15911,0.0,0.1,1,41,3.6,146.5,27987,60646-27,POINT (-87.761826 41.993931)
60646,28,07/05/2020,07/11/2020,12,416,43,1486.4,553,5006,1976,17886.9,0.0,0.1,1,42,3.6,150.1,27987,60646-28,POINT (-87.761826 41.993931)
60646,29,07/12/2020,07/18/2020,2,418,7,1493.6,501,5507,1790,19677,0.0,0.1,0,42,0.0,150.1,27987,60646-29,POINT (-87.761826 41.993931)
60659,40,09/27/2020,10/03/2020,29,1148,71,2795.4,640,11932,1558,29054.3,0.1,0.1,1,46,2.4,112.0,41068,60659-40,POINT (-87.703266 41.990803)
60659,41,10/04/2020,10/10/2020,48,1196,117,2912.2,760,12692,1851,30904.8,0.1,0.1,2,48,4.9,116.9,41068,60659-41,POINT (-87.703266 41.990803)
60659,42,10/11/2020,10/17/2020,60,1256,146,3058.3,813,13505,1980,32884.5,0.1,0.1,0,48,0.0,116.9,41068,60659-42,POINT (-87.703266 41.990803)
60659,43,10/18/2020,10/24/2020,90,1346,219,3277.5,960,14465,2338,35222.1,0.1,0.1,0,48,0.0,116.9,41068,60659-43,POINT (-87.703266 41.990803)
60659,44,10/25/2020,10/31/2020,134,1480,326,3603.8,1300,15765,3166,38387.6,0.1,0.1,1,49,2.4,119.3,41068,60659-44,POINT (-87.703266 41.990803)
60630,38,09/13/2020,09/19/2020,42,1283,73,2237.4,919,17170,1603,29942.1,0.1,0.1,0,66,0.0,115.1,57344,60630-38,POINT (-87.759611 41.971261)
60630,39,09/20/2020,09/26/2020,38,1321,66,2303.6,922,18092,1608,31549.9,0.0,0.1,0,66,0.0,115.1,57344,60630-39,POINT (-87.759611 41.971261)
60630,40,09/27/2020,10/03/2020,58,1379,101,2404.8,1090,19182,1901,33450.8,0.1,0.1,1,67,1.7,116.8,57344,60630-40,POINT (-87.759611 41.971261)
60659,45,11/01/2020,11/07/2020,153,1633,373,3976.3,1202,16967,2927,41314.4,0.1,0.1,0,49,0.0,119.3,41068,60659-45,POINT (-87.703266 41.990803)
60659,46,11/08/2020,11/14/2020,268,1901,653,4628.9,1506,18473,3667,44981.5,0.2,0.1,1,50,2.4,121.7,41068,60659-46,POINT (-87.703266 41.990803)
60603,43,10/18/2020,10/24/2020,0,15,0,1277.7,34,567,2896,48296.4,0.0,0.0,0,0,0.0,0.0,1174,60603-43,POINT (-87.625473 41.880112)
60659,47,11/15/2020,11/21/2020,197,2098,480,5108.6,1347,19820,3280,48261.4,0.2,0.1,2,52,4.9,126.6,41068,60659-47,POINT (-87.703266 41.990803)
60659,48,11/22/2020,11/28/2020,135,2233,329,5437.3,1008,20828,2454,50715.9,0.1,0.1,1,53,2.4,129.1,41068,60659-48,POINT (-87.703266 41.990803)
60647,14,03/29/2020,04/04/2020,41,89,47,101.7,189,498,216,569.1,0.2,0.2,1,1,1.1,1.1,87509,60647-14,POINT (-87.701101 41.921058)
60647,15,04/05/2020,04/11/2020,69,158,79,180.6,250,748,286,854.8,0.2,0.2,0,1,0.0,1.1,87509,60647-15,POINT (-87.701101 41.921058)
