PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178713.46227,1896301.8202899999,"{'latitude': '41.870755', 'longitude': '-87.619347', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1179010.33176,1896301.8202899999,"{'latitude': '41.870748', 'longitude': '-87.618257', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1179003.17823,1896405.5458,"{'latitude': '41.871033', 'longitude': '-87.61828', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178706.30874,1896391.2387399999,"{'latitude': '41.871', 'longitude': '-87.61937', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178706.30874,1896605.8433000001,"{'latitude': '41.871589', 'longitude': '-87.619364', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1179006.75499,1896623.72679,"{'latitude': '41.871631', 'longitude': '-87.61826', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178999.6014700001,1896716.7220099999,"{'latitude': '41.871887', 'longitude': '-87.618283', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178699.1552200001,1896713.1452500001,"{'latitude': '41.871884', 'longitude': '-87.619387', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178692.0016900001,1896959.9403599999,"{'latitude': '41.872561', 'longitude': '-87.619405', 'needs_recoding': False}"
GRANT (ULYSSES),24,BASEBALL JR/SOFTBALL,OUTDOOR,1178988.8711699999,1896974.2474199999,"{'latitude': '41.872594', 'longitude': '-87.618315', 'needs_recoding': False}"
